type,id
0x2ae2291f3e7de592cd6ad0686b16f585b7df5a8d5f766226b06d82850ea486c5,collection::Collection<0x3f7724c72a7fec2996c1dd5bbbf8e13d59532e396c3c1eb9f0413505cfcf6629::bottles::FilledBottle>
0x7b4b9db80e7416aae9d24fe3065deecb8963ad6a64a67af1265625b1a82f47b3,bottles::Dispenser
0xabf4cbf3e57c39aacada500593299c93d1e81abd56db1f73f0112cf61174fa24,collection::Collection<0x3f7724c72a7fec2996c1dd5bbbf8e13d59532e396c3c1eb9f0413505cfcf6629::bottles::EmptyBottle>
0xb5c35bac2a20d8bd305375ebd0c04e1655e0031e356c301b59f229f5a11e1837,bottles::AdminCap<0x3f7724c72a7fec2996c1dd5bbbf8e13d59532e396c3c1eb9f0413505cfcf6629::bottles::BOTTLES>
